Title,Reference number,Published,Last updated
Contraceptive services for under 25s,PH51,26-Mar-14,26-Mar-14
Needle and syringe programmes,PH52,26-Mar-14,26-Mar-14
Rituximab in combination with glucocorticoids for treating anti-neutrophil cytoplasmic antibody-associated vasculitis,TA308,26-Mar-14,26-Mar-14
Aflibercept in combination with irinotecan and fluorouracil-based therapy for treating metastatic colorectal cancer that has progressed following prior oxaliplatin-based chemotherapy,TA307,25-Mar-14,25-Mar-14
Pouchitis: rifaximin,ESUOM30,25-Mar-14,25-Mar-14
Managing medicines in care homes,SC1,14-Mar-14,14-Mar-14
Jaundice in newborn babies under 28 days,QS57,06-Mar-14,06-Mar-14
Psychosis and schizophrenia in adults: prevention and management,CG178,12-Feb-14,01-Mar-14
Cancer services for children and young people,QS55,27-Feb-14,27-Feb-14
Total hip replacement and resurfacing arthroplasty for end-stage arthritis of the hip,TA304,26-Feb-14,26-Feb-14
Aflibercept for treating visual impairment caused by macular oedema secondary to central retinal vein occlusion,TA305,26-Feb-14,26-Feb-14
Pixantrone monotherapy for treating multiply relapsed or refractory aggressive non-Hodgkin's B?cell lymphoma,TA306,26-Feb-14,26-Feb-14
Electrochemotherapy for primary basal cell carcinoma and primary squamous cell carcinoma,IPG478,26-Feb-14,26-Feb-14
Domestic violence and abuse: multi-agency working,PH50,26-Feb-14,26-Feb-14
Endoscopic thoracic sympathectomy for primary facial blushing,IPG480,23-Feb-14,23-Feb-14
Optical coherence tomography to guide percutaneous coronary intervention,IPG481,23-Feb-14,23-Feb-14
Anxiety disorders,QS53,06-Feb-14,06-Feb-14
Faecal incontinence in adults,QS54,06-Feb-14,06-Feb-14
The Versajet II hydrosurgery system for surgical debridement of acute and chronic wounds and burns,MIB1,04-Feb-14,04-Feb-14
The PressureWire fractional flow reserve measurement system for coronary artery disease,MIB2,04-Feb-14,04-Feb-14
The NGAL Test for early diagnosis of acute kidney injury,MIB3,04-Feb-14,04-Feb-14
The RhinoChill intranasal cooling system for reducing temperature after cardiac arrest,MIB4,01-Feb-14,01-Feb-14
Insertion of prostatic urethral lift implants to treat lower urinary tract symptoms secondary to benign prostatic hyperplasia,IPG475,23-Jan-14,23-Jan-14
Transcranial magnetic stimulation for treating and preventing migraine,IPG477,23-Jan-14,23-Jan-14
Arthroscopic trochleoplasty for patellar instability,IPG474,23-Jan-14,23-Jan-14
Radiofrequency ablation of the soft palate for snoring,IPG476,22-Jan-14,22-Jan-14
Autism,QS51,21-Jan-14,21-Jan-14
Peripheral arterial disease,QS52,21-Jan-14,21-Jan-14
Behaviour change: individual approaches,PH49,02-Jan-14,02-Jan-14
Percutaneous closure of patent foramen ovale to prevent recurrent cerebral embolic events,IPG472,18-Dec-13,18-Dec-13
Combined oral contraception: nomegestrol/estradiol (Zoely),ESNM28,17-Dec-13,17-Dec-13
Uterine artery embolisation for treating adenomyosis,IPG473,16-Dec-13,16-Dec-13
Mental wellbeing of older people in care homes,QS50,12-Dec-13,12-Dec-13
Peginterferon alfa and ribavirin for treating chronic hepatitis C in children and young people,TA300,27-Nov-13,27-Nov-13
Canakinumab for treating systemic juvenile idiopathic arthritis (terminated appraisal),TA302,27-Nov-13,27-Nov-13
Negative pressure wound therapy for the open abdomen,IPG467,27-Nov-13,27-Nov-13
Phrenic nerve transfer in brachial plexus injury,IPG468,27-Nov-13,27-Nov-13
Implantation of a duodenal–jejunal bypass sleeve for managing obesity,IPG471,27-Nov-13,27-Nov-13
Peginterferon alfa and ribavirin for the treatment of mild chronic hepatitis C,TA106,23-Aug-06,27-Nov-13
Interferon alfa (pegylated and non-pegylated) and ribavirin for the treatment of chronic hepatitis C,TA75,28-Jan-04,27-Nov-13
Surgical site infection,QS49,31-Oct-13,31-Oct-13
Bile acid malabsorption: colesevelam,ESUOM22,29-Oct-13,29-Oct-13
Ovarian cancer (advanced): bevacizumab 7.5 mg/kg in combination with paclitaxel and carboplatin for first-line treatment,ESUOM21,22-Oct-13,22-Oct-13
Faecal calprotectin diagnostic tests for inflammatory diseases of the bowel,DG11,02-Oct-13,02-Oct-13
Postural hypotension in adults: fludrocortisone,ESUOM20,01-Oct-13,01-Oct-13
Depression in children and young people,QS48,30-Sep-13,30-Sep-13
Photochemical corneal collagen cross?linkage using riboflavin and ultraviolet A for keratoconus and keratectasia,IPG466,25-Sep-13,25-Sep-13
Schizophrenia: omega-3 fatty acid medicines,ESUOM19,24-Sep-13,24-Sep-13
Lower urinary tract symptoms in men,QS45,18-Sep-13,18-Sep-13
Type 2 diabetes: insulin degludec,ESNM25,10-Sep-13,10-Sep-13
Atopic eczema in under 12s,QS44,05-Sep-13,05-Sep-13
Headaches in over 12s,QS42,28-Aug-13,28-Aug-13
Endoscopic radiofrequency ablation for gastro-oesophageal reflux disease,IPG461,28-Aug-13,28-Aug-13
Translaryngeal tracheostomy,IPG462,23-Aug-13,23-Aug-13
EGFR?TK mutation testing in adults with locally advanced or metastatic non-small-cell lung cancer,DG9,14-Aug-13,14-Aug-13
Intraoperative tests (RD?100i OSNA system and Metasin test) for detecting sentinel lymph node metastases in breast cancer,DG8,07-Aug-13,07-Aug-13
Psoriasis,QS40,06-Aug-13,06-Aug-13
Pazopanib for the first-line treatment of advanced renal cell carcinoma,TA215,23-Feb-11,01-Aug-13
Acute upper gastrointestinal bleeding in adults,QS38,30-Jul-13,30-Jul-13
Aripiprazole for treating moderate to severe manic episodes in adolescents with bipolar I disorder,TA292,24-Jul-13,24-Jul-13
Aflibercept solution for injection for treating wet age?related macular degeneration,TA294,24-Jul-13,24-Jul-13
Varicose veins: diagnosis and management,CG168,24-Jul-13,24-Jul-13
Selective internal radiation therapy for primary hepatocellular carcinoma,IPG460,23-Jul-13,23-Jul-13
"Insertion of customised exposed titanium implants, without soft tissue cover, for complex orofacial reconstruction",IPG457,23-Jul-13,23-Jul-13
Hyperhidrosis: oral glycopyrronium bromide,ESUOM16,09-Jul-13,09-Jul-13
"Insertion of customised titanium implants, with soft tissue cover, for orofacial reconstruction",IPG449,27-Mar-13,01-Jul-13
Rivaroxaban for treating pulmonary embolism and preventing recurrent venous thromboembolism,TA287,26-Jun-13,26-Jun-13
Mirabegron for treating symptoms of overactive bladder,TA290,26-Jun-13,26-Jun-13
Chronic anal fissure: botulinum toxin type A injection,ESUOM14,25-Jun-13,25-Jun-13
Gastroparesis in adults: oral erythromycin,ESUOM13,18-Jun-13,18-Jun-13
Falls in older people: assessing risk and prevention,CG161,12-Jun-13,12-Jun-13
Physical activity: brief advice for adults in primary care,PH44,29-May-13,29-May-13
Bevacizumab in combination with paclitaxel and carboplatin for first-line treatment of advanced ovarian cancer,TA284,22-May-13,22-May-13
Bevacizumab in combination with gemcitabine and carboplatin for treating the first recurrence of platinum-sensitive advanced ovarian cancer,TA285,22-May-13,22-May-13
Loxapine inhalation for treating acute agitation and disturbed behaviours associated with schizophrenia and bipolar disorder (terminated appraisal),TA286,22-May-13,22-May-13
"Social anxiety disorder: recognition, assessment and treatment",CG159,22-May-13,22-May-13
Occipital nerve stimulation for intractable chronic migraine,IPG452,26-Apr-13,26-Apr-13
Corneal inlay implantation for correction of presbyopia,IPG455,26-Apr-13,26-Apr-13
Omalizumab for treating severe persistent allergic asthma,TA278,24-Apr-13,24-Apr-13
Percutaneous vertebroplasty and percutaneous balloon kyphoplasty for treating osteoporotic vertebral compression fractures,TA279,24-Apr-13,24-Apr-13
Looked-after children and young people,QS31,03-Apr-13,03-Apr-13
Antisocial personality disorder: prevention and management,CG77,28-Jan-09,27-Mar-13
Electrochemotherapy for metastases in the skin from tumours of non-skin origin and melanoma,IPG446,27-Mar-13,27-Mar-13
Insertion of endobronchial valves for persistent air leaks,IPG448,27-Mar-13,27-Mar-13
Percutaneous electrical nerve stimulation for refractory neuropathic pain,IPG450,27-Mar-13,27-Mar-13
Peripheral nerve-field stimulation for chronic low back pain,IPG451,27-Mar-13,27-Mar-13
Colistimethate sodium and tobramycin dry powders for inhalation for treating pseudomonas lung infection in cystic fibrosis,TA276,27-Mar-13,27-Mar-13
Methylnaltrexone for treating opioid-induced bowel dysfunction in people with advanced illness receiving palliative care (terminated appraisal),TA277,27-Mar-13,27-Mar-13
Chronic anal fissure: 0.2% topical glyceryl trinitrate ointment,ESUOM7,26-Mar-13,26-Mar-13
Early and metastatic HER2-positive breast cancer: subcutaneous trastuzumab,ESNM13,13-Mar-13,13-Mar-13
Hepatitis B and C testing: people at risk of infection,PH43,12-Dec-12,01-Mar-13
Irreversible electroporation for treating primary lung cancer and metastases in the lung,IPG441,23-Feb-13,23-Feb-13
Irreversible electroporation for treating renal cancer,IPG443,23-Feb-13,23-Feb-13
Irreversible electroporation for treating liver metastases,IPG445,23-Feb-13,23-Feb-13
Ultrasound-guided foam sclerotherapy for varicose veins,IPG440,23-Feb-13,23-Feb-13
Polycystic ovary syndrome: metformin in women not planning pregnancy,ESUOM6,21-Feb-13,21-Feb-13
Preventing recurrent hypomagnesaemia: oral magnesium glycerophosphate,ESUOM4,29-Jan-13,29-Jan-13
Vinflunine for the treatment of advanced or metastatic transitional cell carcinoma of the urothelial tract,TA272,23-Jan-13,23-Jan-13
Tadalafil for the treatment of symptoms associated with benign prostatic hyperplasia (terminated appraisal),TA273,23-Jan-13,23-Jan-13
Percutaneous pulmonary valve implantation for right ventricular outflow tract dysfunction,IPG436,23-Jan-13,23-Jan-13
Autologous blood injection for plantar fasciitis,IPG437,23-Jan-13,23-Jan-13
Autologous blood injection for tendinopathy,IPG438,23-Jan-13,23-Jan-13
Deep dermal injection of non-absorbable gel polymer for HIV-related lipoatrophy,IPG439,23-Jan-13,23-Jan-13
Chronic anal fissure: 2% topical diltiazem hydrochloride,ESUOM3,22-Jan-13,22-Jan-13
Ipilimumab for previously treated advanced (unresectable or metastatic) melanoma,TA268,12-Dec-12,12-Dec-12
Decitabine for the treatment of acute myeloid leukaemia (terminated appraisal),TA270,12-Dec-12,12-Dec-12
Dronedarone for the treatment of non-permanent atrial fibrillation,TA197,25-Aug-10,01-Dec-12
Nutrition support in adults,QS24,30-Nov-12,30-Nov-12
Mannitol dry powder for inhalation for treating cystic fibrosis,TA266,28-Nov-12,28-Nov-12
Ivabradine for treating chronic heart failure,TA267,28-Nov-12,28-Nov-12
Physical activity: walking and cycling,PH41,28-Nov-12,28-Nov-12
Laparoscopic gastric plication for the treatment of severe obesity,IPG432,27-Nov-12,27-Nov-12
Percutaneous laser atherectomy as an adjunct to balloon angioplasty (with or without stenting) for peripheral arterial disease,IPG433,27-Nov-12,27-Nov-12
Radiofrequency cold ablation for respiratory papillomatosis,IPG434,27-Nov-12,27-Nov-12
"Depth of anaesthesia monitors – Bispectral Index (BIS), E-Entropy and Narcotrend-Compact M",DG6,21-Nov-12,21-Nov-12
Drug use disorders in adults,QS23,19-Nov-12,19-Nov-12
Denosumab for the prevention of skeletal-related events in adults with bone metastases from solid tumours,TA265,24-Oct-12,24-Oct-12
Social and emotional wellbeing: early years,PH40,24-Oct-12,24-Oct-12
Alteplase for treating acute ischaemic stroke,TA264,26-Sep-12,26-Sep-12
Neutropenic sepsis: prevention and management in people with cancer,CG151,19-Sep-12,19-Sep-12
SonoVue (sulphur hexafluoride microbubbles) – contrast agent for contrast-enhanced ultrasound imaging of the liver,DG5,29-Aug-12,29-Aug-12
Bevacizumab in combination with capecitabine for the first-line treatment of metastatic breast cancer,TA263,22-Aug-12,22-Aug-12
Mega Soft Patient Return Electrode for use during monopolar electrosurgery,MTG11,22-Aug-12,22-Aug-12
Rivaroxaban for the treatment of deep vein thrombosis and prevention of recurrent deep vein thrombosis and pulmonary embolism,TA261,25-Jul-12,25-Jul-12
Endovascular stent insertion for intracranial atherosclerotic disease,IPG429,23-Jul-12,23-Jul-12
Partial replacement of the meniscus of the knee using a biodegradable scaffold,IPG430,23-Jul-12,23-Jul-12
Erlotinib for the first-line treatment of locally advanced or metastatic EGFR-TK mutation-positive non-small-cell lung cancer,TA258,27-Jun-12,27-Jun-12
Botulinum toxin type A for the prevention of headaches in adults with chronic migraine,TA260,27-Jun-12,27-Jun-12
Sickle cell disease: managing acute painful episodes in hospital,CG143,27-Jun-12,27-Jun-12
Lapatinib or trastuzumab in combination with an aromatase inhibitor for the first-line treatment of metastatic hormone receptor-positive breast cancer that overexpresses HER2,TA257,27-Jun-12,27-Jun-12
Percutaneous balloon cryoablation for pulmonary vein isolation in atrial fibrillation,IPG427,27-May-12,27-May-12
Focal therapy using cryoablation for localised prostate cancer,IPG423,26-Apr-12,26-Apr-12
Micropressure therapy for refractory Ménière's disease,IPG426,26-Apr-12,26-Apr-12
Fingolimod for the treatment of highly active relapsing–remitting multiple sclerosis,TA254,25-Apr-12,25-Apr-12
Incisionless otoplasty,IPG422,27-Mar-12,27-Mar-12
Pharmalgen for the treatment of bee and wasp venom allergy,TA246,22-Feb-12,22-Feb-12
Tocilizumab for the treatment of rheumatoid arthritis,TA247,22-Feb-12,22-Feb-12
Rituximab for the first-line treatment of stage III-IV follicular lymphoma,TA243,25-Jan-12,25-Jan-12
Apixaban for the prevention of venous thromboembolism after total hip or knee replacement in adults,TA245,25-Jan-12,25-Jan-12
"Cetuximab, bevacizumab and panitumumab for the treatment of metastatic colorectal cancer after first-line chemotherapy",TA242,25-Jan-12,25-Jan-12
Breast reconstruction using lipomodelling after breast cancer treatment,IPG417,23-Jan-12,23-Jan-12
Bevacizumab and cetuximab for the treatment of metastatic colorectal cancer,TA118,24-Jan-07,01-Jan-12
Epiretinal brachytherapy for wet age-related macular degeneration,IPG415,16-Dec-11,16-Dec-11
Service user experience in adult mental health: improving the experience of care for people using adult NHS mental health services,CG136,14-Dec-11,14-Dec-11
Tocilizumab for the treatment of systemic juvenile idiopathic arthritis,TA238,14-Dec-11,14-Dec-11
Fulvestrant for the treatment of locally advanced or metastatic breast cancer,TA239,14-Dec-11,14-Dec-11
Single-port laparoscopic nephrectomy,IPG414,23-Nov-11,23-Nov-11
"Drainage, irrigation and fibrinolytic therapy (DRIFT) for post-haemorrhagic hydrocephalus in preterm infants",IPG412,23-Nov-11,23-Nov-11
Magnetic resonance image-guided transcutaneous focused ultrasound for uterine fibroids,IPG413,23-Nov-11,23-Nov-11
Healthcare-associated infections: prevention and control,PH36,11-Nov-11,11-Nov-11
Mifamurtide for the treatment of osteosarcoma,TA235,26-Oct-11,26-Oct-11
The EOS 2D/3D imaging system,DG1,26-Oct-11,26-Oct-11
Ticagrelor for the treatment of acute coronary syndromes,TA236,26-Oct-11,26-Oct-11
Arthroscopic femoro–acetabular surgery for hip impingement syndrome,IPG408,28-Sep-11,28-Sep-11
Minimally invasive oesophagectomy,IPG407,28-Sep-11,28-Sep-11
Laparoscopic cryotherapy for renal cancer,IPG405,24-Aug-11,24-Aug-11
Bortezomib and thalidomide for the first?line treatment of multiple myeloma,TA228,27-Jul-11,27-Jul-11
Dexamethasone intravitreal implant for the treatment of macular oedema secondary to retinal vein occlusion,TA229,27-Jul-11,27-Jul-11
Agomelatine for the treatment of major depressive episodes (terminated appraisal),TA231,27-Jul-11,27-Jul-11
Percutaneous cryotherapy for renal cancer,IPG402,27-Jul-11,27-Jul-11
Open femoro–acetabular surgery for hip impingement syndrome,IPG403,27-Jul-11,27-Jul-11
Ambulight PDT for the treatment of non-melanoma skin cancer,MTG6,25-Jul-11,25-Jul-11
The MIST Therapy system for the promotion of wound healing,MTG5,25-Jul-11,25-Jul-11
Myocardial perfusion scintigraphy for the diagnosis and management of angina and myocardial infarction,TA73,26-Nov-03,01-Jul-11
Erlotinib monotherapy for maintenance treatment of non-small-cell lung cancer,TA227,29-Jun-11,29-Jun-11
Golimumab for the treatment of rheumatoid arthritis after the failure of previous disease-modifying anti-rheumatic drugs,TA225,22-Jun-11,22-Jun-11
Rituximab for the first-line maintenance treatment of follicular non-Hodgkin's lymphoma,TA226,22-Jun-11,22-Jun-11
Endoscopic radical inguinal lymphadenectomy,IPG398,22-Jun-11,22-Jun-11
Thoracoscopic exclusion of the left atrial appendage (with or without surgical ablation) for non-valvular atrial fibrillation for the prevention of thromboembolism,IPG400,22-Jun-11,22-Jun-11
"Cilostazol, naftidrofuryl oxalate, pentoxifylline and inositol nicotinate for the treatment of intermittent claudication in people with peripheral arterial disease",TA223,25-May-11,25-May-11
Endoscopic radiofrequency therapy of the anal sphincter for faecal incontinence,IPG393,25-May-11,25-May-11
Percutaneous tibial nerve stimulation for faecal incontinence,IPG395,25-May-11,25-May-11
Trabeculotomy ab interno for open angle glaucoma,IPG397,25-May-11,25-May-11
Type 2 diabetes prevention: population and community-level interventions,PH35,10-May-11,10-May-11
Golimumab for the treatment of psoriatic arthritis,TA220,27-Apr-11,27-Apr-11
Carotid artery stent placement for symptomatic extracranial carotid stenosis,IPG389,27-Apr-11,27-Apr-11
Endovascular stent-grafting of popliteal aneurysms,IPG390,27-Apr-11,27-Apr-11
Extracorporeal membrane oxygenation for severe acute respiratory failure in adults,IPG391,27-Apr-11,27-Apr-11
Stent insertion for bleeding oesophageal varices,IPG392,27-Apr-11,27-Apr-11
"Azacitidine for the treatment of myelodysplastic syndromes, chronic myelomonocytic leukaemia and acute myeloid leukaemia",TA218,23-Mar-11,23-Mar-11
Coexisting severe mental illness (psychosis) and substance misuse: assessment and management in healthcare settings,CG120,23-Mar-11,23-Mar-11
Hand allotransplantation,IPG383,23-Mar-11,23-Mar-11
Percutaneous retroperitoneal endoscopic necrosectomy,IPG384,23-Mar-11,23-Mar-11
Laser correction of refractive error following non-refractive ophthalmic surgery,IPG385,23-Mar-11,23-Mar-11
Deep brain stimulation for intractable trigeminal autonomic cephalalgias,IPG381,23-Mar-11,23-Mar-11
Deep brain stimulation for refractory chronic pain syndromes (excluding headache),IPG382,23-Mar-11,23-Mar-11
Bevacizumab in combination with a taxane for the first-line treatment of metastatic breast cancer,TA214,23-Feb-11,23-Feb-11
Bendamustine for the first-line treatment of chronic lymphocytic leukaemia,TA216,23-Feb-11,23-Feb-11
Food allergy in under 19s: assessment and diagnosis,CG116,23-Feb-11,23-Feb-11
Percutaneous atherectomy of femoropopliteal arterial lesions with plaque excision devices,IPG380,23-Feb-11,23-Feb-11
Aripiprazole for the treatment of schizophrenia in people aged 15 to 17 years,TA213,26-Jan-11,26-Jan-11
Extracorporeal shockwave therapy for refractory greater trochanteric pain syndrome,IPG376,26-Jan-11,26-Jan-11
Off-pump coronary artery bypass grafting,IPG377,26-Jan-11,26-Jan-11
Percutaneous laser coronary angioplasty,IPG378,26-Jan-11,26-Jan-11
Thoracoscopic repair of congenital diaphragmatic hernia in neonates,IPG379,25-Jan-11,25-Jan-11
Distal iliotibial band lengthening for refractory greater trochanteric pain syndrome,IPG375,25-Jan-11,25-Jan-11
Clopidogrel and modified-release dipyridamole for the prevention of occlusive vascular events,TA210,15-Dec-10,15-Dec-10
Prucalopride for the treatment of chronic constipation in women,TA211,15-Dec-10,15-Dec-10
Bevacizumab in combination with oxaliplatin and either fluorouracil plus folinic acid or capecitabine for the treatment of metastatic colorectal cancer,TA212,15-Dec-10,15-Dec-10
Sedation in under 19s: using sedation for diagnostic and therapeutic procedures,CG112,15-Dec-10,15-Dec-10
Cryotherapy for the treatment of liver metastases,IPG369,15-Dec-10,15-Dec-10
Percutaneous closure of patent foramen ovale for recurrent migraine,IPG370,15-Dec-10,15-Dec-10
Percutaneous closure of patent foramen ovale for the secondary prevention of recurrent paradoxical embolism in divers,IPG371,15-Dec-10,15-Dec-10
Percutaneous radiofrequency ablation for primary or secondary lung cancers,IPG372,15-Dec-10,15-Dec-10
Selective dorsal rhizotomy for spasticity in cerebral palsy,IPG373,15-Dec-10,15-Dec-10
Trastuzumab for the treatment of HER2-positive metastatic gastric cancer,TA208,24-Nov-10,24-Nov-10
Imatinib for the treatment of unresectable and/or metastatic gastrointestinal stromal tumours,TA209,24-Nov-10,24-Nov-10
Interspinous distraction procedures for lumbar spinal stenosis causing neurogenic claudication,IPG365,24-Nov-10,24-Nov-10
Non-rigid stabilisation techniques for the treatment of low back pain,IPG366,24-Nov-10,24-Nov-10
Uterine artery embolisation for fibroids,IPG367,24-Nov-10,24-Nov-10
Unintentional injuries: prevention strategies for under 15s,PH29,24-Nov-10,24-Nov-10
Unintentional injuries in the home: interventions for under 15s,PH30,24-Nov-10,24-Nov-10
Unintentional injuries on the road: interventions for under 15s,PH31,24-Nov-10,24-Nov-10
Imatinib for the treatment of unresectable and/or metastatic gastro-intestinal stromal tumours,TA86,27-Oct-04,01-Nov-10
Denosumab for the prevention of osteoporotic fractures in postmenopausal women,TA204,27-Oct-10,27-Oct-10
Bendamustine for the treatment of indolent (low grade) non-Hodgkin's lymphoma that is refractory to rituximab (terminated appraisal),TA206,27-Oct-10,27-Oct-10
Temsirolimus for the treatment of relapsed or refractory mantle cell lymphoma (terminated appraisal),TA207,27-Oct-10,27-Oct-10
Bedwetting in under 19s,CG111,27-Oct-10,27-Oct-10
Endoscopic mucosal resection and endoscopic submucosal dissection of non-ampullary duodenal lesions,IPG359,27-Oct-10,27-Oct-10
Endoscopic submucosal dissection of gastric lesions,IPG360,27-Oct-10,27-Oct-10
Insertion of metal rib reinforcements to stabilise a flail chest wall,IPG361,27-Oct-10,27-Oct-10
Percutaneous posterior tibial nerve stimulation for overactive bladder syndrome,IPG362,27-Oct-10,27-Oct-10
Minimally invasive total hip replacement,IPG363,27-Oct-10,27-Oct-10
Transperineal template biopsy and mapping of the prostate,IPG364,27-Oct-10,27-Oct-10
Peginterferon alfa and ribavirin for the treatment of chronic hepatitis C,TA200,22-Sep-10,22-Sep-10
Pregnancy and complex social factors: a model for service provision for pregnant women with complex social factors,CG110,22-Sep-10,22-Sep-10
Endoscopic submucosal dissection of oesophageal dysplasia and neoplasia,IPG355,22-Sep-10,22-Sep-10
Laparoscopic hysterectomy (including laparoscopic total hysterectomy and laparoscopically assisted vaginal hysterectomy) for endometrial cancer,IPG356,22-Sep-10,22-Sep-10
Percutaneous intradiscal laser ablation in the lumbar spine,IPG357,22-Sep-10,22-Sep-10
Phototherapeutic laser keratectomy for corneal surface irregularities,IPG358,22-Sep-10,22-Sep-10
"Adalimumab, etanercept, infliximab, rituximab and abatacept for the treatment of rheumatoid arthritis after the failure of a TNF inhibitor",TA195,25-Aug-10,25-Aug-10
"Etanercept, infliximab and adalimumab for the treatment of psoriatic arthritis",TA199,25-Aug-10,25-Aug-10
Capecitabine for the treatment of advanced gastric cancer,TA191,28-Jul-10,28-Jul-10
Gefitinib for the first-line treatment of locally advanced or metastatic non-small-cell lung cancer,TA192,28-Jul-10,28-Jul-10
Percutaneous mitral valve annuloplasty,IPG352,28-Jul-10,28-Jul-10
Percutaneous radiofrequency ablation for renal cancer,IPG353,28-Jul-10,28-Jul-10
Shoulder resurfacing arthroplasty,IPG354,28-Jul-10,28-Jul-10
Rituximab for the treatment of relapsed or refractory chronic lymphocytic leukaemia,TA193,28-Jul-10,28-Jul-10
Stapled transanal rectal resection for obstructed defaecation syndrome,IPG351,23-Jun-10,23-Jun-10
Percutaneous occlusion of the left atrial appendage in non-valvular atrial fibrillation for the prevention of thromboembolism,IPG349,23-Jun-10,23-Jun-10
Photodynamic therapy for Barrett's oesophagus,IPG350,23-Jun-10,23-Jun-10
Cardiovascular disease prevention,PH25,22-Jun-10,22-Jun-10
Alcohol-use disorders: prevention,PH24,02-Jun-10,02-Jun-10
Human growth hormone (somatropin) for the treatment of growth failure in children,TA188,26-May-10,26-May-10
Epithelial radiofrequency ablation for Barrett's oesophagus,IPG344,26-May-10,26-May-10
Mini-incision surgery for total knee replacement,IPG345,26-May-10,26-May-10
Therapeutic hypothermia with intracorporeal temperature monitoring for hypoxic perinatal brain injury,IPG347,26-May-10,26-May-10
Improving outcomes for people with skin tumours including melanoma,CSG8,22-Feb-06,25-May-10
Infliximab and adalimumab for the treatment of Crohn's disease,TA187,19-May-10,19-May-10
Limited macular translocation for wet age-related macular degeneration,IPG339,19-May-10,19-May-10
Macular translocation with 360° retinotomy for wet age-related macular degeneration,IPG340,19-May-10,19-May-10
Prosthetic intervertebral disc replacement in the cervical spine,IPG341,19-May-10,19-May-10
Haemorrhoidal artery ligation,IPG342,19-May-10,19-May-10
Arteriovenous crossing sheathotomy for branch retinal vein occlusion,IPG334,24-Mar-10,24-Mar-10
Endoscopic submucosal dissection of lower gastrointestinal lesions,IPG335,24-Mar-10,24-Mar-10
Transcatheter endovascular closure of perimembranous ventricular septal defect,IPG336,24-Mar-10,24-Mar-10
Endobronchial ultrasound-guided transbronchial biopsy for peripheral lung lesions,IPG337,24-Mar-10,24-Mar-10
Guidance on the use of glycoprotein IIb/IIIa inhibitors in the treatment of acute coronary syndromes,TA47,05-Sep-02,01-Mar-10
Donor milk banks: service operation,CG93,24-Feb-10,24-Feb-10
Therapeutic endoscopic division of epidural adhesions,IPG333,24-Feb-10,24-Feb-10
Radiofrequency ablation for colorectal liver metastases,IPG327,16-Dec-09,16-Dec-09
Suction diathermy adenoidectomy,IPG328,16-Dec-09,16-Dec-09
Balloon catheter insertion for Bartholin's cyst or abscess,IPG323,16-Dec-09,16-Dec-09
Electrocautery cutting balloon treatment for pelviureteric junction obstruction,IPG324,16-Dec-09,16-Dec-09
Endopyelotomy for pelviureteric junction obstruction,IPG325,16-Dec-09,16-Dec-09
Laparoscopic augmentation cystoplasty (including clam cystoplasty),IPG326,16-Dec-09,16-Dec-09
Topotecan for the treatment of relapsed small-cell lung cancer,TA184,25-Nov-09,25-Nov-09
Topotecan for the treatment of recurrent and stage IVB cervical cancer,TA183,28-Oct-09,28-Oct-09
Depression in adults with a chronic physical health problem: recognition and management,CG91,28-Oct-09,28-Oct-09
Guidance on the use of electroconvulsive therapy,TA59,26-Apr-03,01-Oct-09
Sunitinib for the treatment of gastrointestinal stromal tumours,TA179,23-Sep-09,23-Sep-09
Pemetrexed for the first-line treatment of non-small-cell lung cancer,TA181,23-Sep-09,23-Sep-09
Extracorporeal albumin dialysis for acute liver failure,IPG316,23-Sep-09,23-Sep-09
Individually magnetic resonance imaging-designed unicompartmental interpositional implant insertion for osteoarthritis of the knee,IPG317,23-Sep-09,23-Sep-09
Alitretinoin for the treatment of severe chronic hand eczema,TA177,26-Aug-09,26-Aug-09
"Bevacizumab (first-line), sorafenib (first- and second-line), sunitinib (second-line) and temsirolimus (first-line) for the treatment of advanced and/or metastatic renal cell carcinoma",TA178,26-Aug-09,26-Aug-09
Placement of pectus bar for pectus excavatum (also known as MIRPE or the Nuss procedure),IPG310,26-Aug-09,26-Aug-09
Extracorporeal shockwave therapy for refractory plantar fasciitis,IPG311,26-Aug-09,26-Aug-09
Extracorporeal shockwave therapy for refractory tennis elbow,IPG313,26-Aug-09,26-Aug-09
Tenofovir disoproxil for the treatment of chronic hepatitis B,TA173,22-Jul-09,22-Jul-09
Rituximab for the first-line treatment of chronic lymphocytic leukaemia,TA174,22-Jul-09,22-Jul-09
Prosthetic intervertebral disc replacement in the lumbar spine,IPG306,22-Jul-09,22-Jul-09
Image-guided radiofrequency excision biopsy of breast lesions,IPG308,22-Jul-09,22-Jul-09
Sinus tarsi implant insertion for mobile flatfoot,IPG305,22-Jul-09,22-Jul-09
Percutaneous endoscopic laser cervical discectomy,IPG303,24-Jun-09,24-Jun-09
Corneal endothelial transplantation,IPG304,24-Jun-09,24-Jun-09
Tenotomy of horizontal eye muscles for nystagmus (with reattachment at their original insertions),IPG299,27-May-09,27-May-09
Transmyocardial laser revascularisation for refractory angina pectoris,IPG301,27-May-09,27-May-09
Percutaneous laser revascularisation for refractory angina pectoris,IPG302,27-May-09,27-May-09
Rivaroxaban for the prevention of venous thromboembolism after total hip or total knee replacement in adults,TA170,22-Apr-09,22-Apr-09
Diarrhoea and vomiting caused by gastroenteritis in under 5s: diagnosis and management,CG84,22-Apr-09,22-Apr-09
